research_field,topic_words,topic_label
Political History,"imperialism, colonialism, decolonization, empire, geopolitics",Imperial and Colonial History
Political History,"constitution, law, reform, governance, institution",Constitutional and Institutional Change
Political History,"diplomacy, treaty, international, relations, foreign",International Relations and Diplomacy
Political History,"citizenship, rights, movements, public, protest",Citizenship and Social Movements
Theory and Criticism,"subjectivity, power, knowledge, discourse, episteme",Foucauldian Discourse and Power
Theory and Criticism,"signifier, signified, arbitrary, difference, structure",Structuralist and Post-Structuralist Theory
Theory and Criticism,"gaze, patriarchy, gender, performance, queer",Gender and Sexuality Theory
Theory and Criticism,"marxism, ideology, commodity, capitalism, hegemony",Marxist Critical Theory
Theory and Criticism,"trace, differance, logocentrism, deconstruction, presence",Deconstruction and Derrida
Theory and Criticism,"colonization, postcolonial, subaltern, orientalism, hybridity",Postcolonial and Subaltern Studies
Theory and Criticism,"trauma, memory, unconscious, repression, psychoanalysis",Psychoanalytic Theory
Bacterial Infections and Mycoses,"antibiotic, resistance, mechanism, genes, superbug",Antibiotic Resistance Mechanisms
Bacterial Infections and Mycoses,"pathogenesis, virulence, toxins, host, interaction",Bacterial Pathogenesis and Virulence
Bacterial Infections and Mycoses,"fungal, antifungal, candida, aspergillus, mycotoxins",Fungal Infections and Antifungals
Bacterial Infections and Mycoses,"biofilm, formation, surface, adhesion, quorum",Bacterial Biofilm Formation
Bacterial Infections and Mycoses,"vaccine, development, immunity, prevention, antigen",Infection Vaccine Development
Bacterial Infections and Mycoses,"microbiome, dysbiosis, gut, probiotics, commensal",Microbiome and Infection
Bacterial Infections and Mycoses,"diagnosis, molecular, pcr, sequencing, identification",Molecular Diagnostics of Infections
Medicinal-Pharmaceutical Chemistry,"drug, design, target, ligand, synthesis",Rational Drug Design
Medicinal-Pharmaceutical Chemistry,"pharmacokinetics, absorption, metabolism, excretion, distribution",ADME and Pharmacokinetics
Medicinal-Pharmaceutical Chemistry,"qsar, modeling, descriptors, activity, prediction",QSAR and Activity Prediction
Medicinal-Pharmaceutical Chemistry,"delivery, nanoparticles, formulation, release, liposome",Drug Delivery Systems
Medicinal-Pharmaceutical Chemistry,"natural, products, isolation, bioactive, medicinal",Bioactive Natural Products
Medicinal-Pharmaceutical Chemistry,"toxin, safety, screening, toxicity, assessment",Toxicology and Drug Safety
Medicinal-Pharmaceutical Chemistry,"enzyme, inhibition, binding, assay, mechanism",Enzyme Inhibition Mechanisms
Communication Technology and New Media,"social, media, platform, algorithm, engagement",Social Media and Algorithms
Communication Technology and New Media,"virtual, reality, augmented, immersive, interaction",Immersive Media Technologies
Communication Technology and New Media,"data, privacy, surveillance, policy, ethics",Data Ethics and Privacy
Communication Technology and New Media,"digital, divide, access, equity, inclusion",Digital Equity and Access
Communication Technology and New Media,"network, 5g, broadband, infrastructure, connectivity",Communication Network Infrastructure
Communication Technology and New Media,"misinformation, disinformation, fake, news, literacy",Media Literacy and Misinformation
Communication Technology and New Media,"human-computer, interaction, user, experience, design",Human-Computer Interaction Design
Social Influence and Political Communication,"social, media, platform, mobilization, influence",Social Media Political Influence
Social Influence and Political Communication,"misinformation, disinformation, narrative, credibility, framing",Information Warfare and Framing
Social Influence and Political Communication,"rhetoric, persuasion, message, audience, campaign",Political Messaging and Rhetoric
Social Influence and Political Communication,"polarization, echo, chambers, civility, partisanship",Digital Political Polarization
Social Influence and Political Communication,"engagement, participation, behavior, voter, campaigns",Political Engagement and Behavior
Social Influence and Political Communication,"sentiment, analysis, public, opinion, polling",Public Opinion and Sentiment
Social Influence and Political Communication,"network, contagion, diffusion, peer, online",Social Network Contagion
Energy Policy,"renewable, solar, wind, incentives, integration",Renewable Energy Policy & Integration
Energy Policy,"efficiency, conservation, demand, buildings, standards",Energy Efficiency and Conservation
Energy Policy,"security, supply, dependency, geopolitics, resilience",
Energy Policy,"fossil, coal, oil, gas, regulation",Fossil Fuel Regulation
Energy Policy,"climate, emissions, carbon, mitigation, pricing",Climate Change Mitigation Policy
Energy Policy,"infrastructure, grid, transmission, modernization, reliability",Energy Infrastructure and Grid
Energy Policy,"markets, deregulation, pricing, competition, investment",Energy Markets and Economics
American Literature,"puritan, jeremiad, typology, sermon, captivity",Early American Colonial Literature
American Literature,"gothic, romanticism, individualism, nature, sublime",American Romanticism and Gothic
American Literature,"slavery, abolition, narrative, freedom, resistance",Antebellum Slavery Narratives
American Literature,"realism, regionalism, class, verisimilitude, local",19th Century Realism/Regionalism
American Literature,"modernism, expatriate, fragmentation, jazz, experimentation",Modernist Fiction and Poetry
American Literature,"harlem, renaissance, du-bois, race, identity",Harlem Renaissance Literature
American Literature,"postmodern, metafiction, consumerism, cold-war, minimalism",Post-WWII Contemporary Literature
Medical Pharmacology,"absorption, distribution, metabolism, excretion, pharmacokinetics",Drug Pharmacokinetics (ADME)
Medical Pharmacology,"receptor, binding, signal, transduction, mechanisms",Drug-Receptor and Signaling Mechanisms
Medical Pharmacology,"dosage, efficacy, safety, clinical, trials",Clinical Drug Efficacy and Safety
Medical Pharmacology,"toxicity, adverse, reaction, side, effect",Drug Toxicity and Adverse Effects
Medical Pharmacology,"genetic, polymorphism, variation, response, individualized",Pharmacogenetics and Drug Response
Medical Pharmacology,"drug, interaction, combination, therapy, metabolism",Drug-Drug Interactions
Medical Pharmacology,"discovery, target, compound, lead, development",Drug Discovery and Development
Reproductive and Urinary Physiology,"kidney, nephron, filtration, reabsorption, homeostasis",Renal Function and Homeostasis
Reproductive and Urinary Physiology,"bladder, urethra, micturition, storage, voiding",Lower Urinary Tract Dynamics
Reproductive and Urinary Physiology,"ovarian, follicle, menstrual, hormone, cycle",Female Reproductive Endocrinology
Reproductive and Urinary Physiology,"spermatogenesis, testis, androgen, fertility, ejaculation",Male Reproductive Physiology
Reproductive and Urinary Physiology,"placenta, fetus, pregnancy, uterus, gestation",Placental and Fetal Physiology
Reproductive and Urinary Physiology,"infertility, assisted, reproduction, ivf, gamete",Assisted Reproductive Technology
Reproductive and Urinary Physiology,"electrolyte, acid-base, balance, water, sodium",Fluid and Electrolyte Balance
Occupational and Environmental Health Nursing,"workplace, hazard, risk, prevention, safety",Workplace Hazard Prevention
Occupational and Environmental Health Nursing,"exposure, chemical, environmental, toxicology, health",Chemical Exposure and Health
Occupational and Environmental Health Nursing,"assessment, injury, management, workers, compensation",Worker Injury Case Management
Occupational and Environmental Health Nursing,"promotion, wellbeing, stress, mental, programs",Worksite Health Promotion
Occupational and Environmental Health Nursing,"surveillance, monitoring, screening, biological, data",Biological Health Surveillance
Occupational and Environmental Health Nursing,"ergonomics, musculoskeletal, design, cumulative, disorders",Ergonomics and MSD Prevention
Occupational and Environmental Health Nursing,"disaster, emergency, preparedness, response, planning",Emergency Preparedness and Response
Graphics and Human Computer Interfaces,"rendering, ray, path, sampling, lighting",Realistic Image Rendering Techniques
Graphics and Human Computer Interfaces,"virtual, augmented, reality, immersion, haptics",Virtual and Augmented Reality Interfaces
Graphics and Human Computer Interfaces,"usability, evaluation, task, efficiency, feedback",Human Computer Interaction Usability
Graphics and Human Computer Interfaces,"modeling, polygon, mesh, texture, geometry",3D Modeling and Geometry
Graphics and Human Computer Interfaces,"gesture, voice, gaze, multimodal, interaction",Advanced Interaction Techniques
Graphics and Human Computer Interfaces,"visualization, data, information, perception, charts",Information and Data Visualization
Graphics and Human Computer Interfaces,"animation, kinematics, dynamics, motion, character",Computer Animation and Dynamics
Other Communication,"rhetoric, discourse, persuasion, audience, argument",Rhetorical and Persuasive Discourse
Other Communication,"interpersonal, relationships, nonverbal, conflict, dialogue",Interpersonal Communication Dynamics
Other Communication,"organizational, internal, external, leadership, culture",Organizational Communication Structures
Other Communication,"health, campaigns, patient, provider, literacy",Health Communication and Literacy
Other Communication,"political, public, polling, campaigns, media",Political Communication and Media
Other Communication,"cultural, intercultural, identity, language, context",Intercultural Communication and Identity
Other Communication,"technologies, mediated, social, digital, platform",Mediated Communication Technologies
Industrial,"supply, chain, logistics, management, optimization",Supply Chain Management
Industrial,"lean, manufacturing, efficiency, waste, sixsigma",Lean Manufacturing Systems
Industrial,"robotics, automation, assembly, integration, systems",Industrial Robotics and Automation
Industrial,"human, factors, ergonomics, safety, workspace",Human Factors and Ergonomics
Industrial,"process, control, monitoring, sensors, data",Industrial Process Control
Industrial,"quality, assurance, inspection, testing, standards",Quality Assurance and Testing
Industrial,"maintenance, reliability, predictive, asset, equipment",Industrial Maintenance and Reliability
Developmental Biology,"stem, pluripotency, differentiation, niche, regenerative",Stem Cell Pluripotency and Differentiation
Developmental Biology,"morphogenesis, patterning, axis, formation, epithelial",Morphogenesis and Axis Patterning
Developmental Biology,"gastrulation, embryo, germ, layers, organogenesis",Early Embryonic Development
Developmental Biology,"signaling, pathway, wnt, hedgehog, notch",Developmental Signaling Pathways
Developmental Biology,"epigenetics, chromatin, methylation, histone, imprinting",Epigenetic Regulation in Development
Developmental Biology,"model, zebrafish, drosophila, mouse, c-elegans",Developmental Model Organisms
Developmental Biology,"induction, competence, fate, specification, commitment",Cell Fate Specification
Family Medicine,"prevention, screening, health, promotion, wellness",Preventive Care and Wellness
Family Medicine,"chronic, disease, management, diabetes, hypertension",Chronic Disease Management
Family Medicine,"patient, centered, care, communication, relationship",Patient-Centered Care
Family Medicine,"behavioral, mental, health, integration, primary",Integrated Behavioral Health
Family Medicine,"pediatric, immunization, adolescent, child, development",Pediatric and Child Health
Family Medicine,"geriatric, aging, frailty, multimorbidity, elderly",Geriatric Medicine
Family Medicine,"maternity, prenatal, postpartum, obstetrics, women's",Maternal and Women's Health
Other Applied Mathematics,"discrete, graph, combinatorics, networks, algorithms",Discrete Mathematics and Algorithms
Other Applied Mathematics,"stochastic, probability, processes, random, modeling",Stochastic Processes Modeling
Other Applied Mathematics,"optimization, linear, nonlinear, constraints, programming",Mathematical Optimization Methods
Other Applied Mathematics,"analysis, asymptotic, approximation, perturbation, theory",Applied Analysis Techniques
Other Applied Mathematics,"finance, risk, derivatives, pricing, markets",Mathematical Finance
Other Applied Mathematics,"cryptography, coding, information, theory, security",Information and Coding Theory
Other Applied Mathematics,"control, systems, dynamics, stability, feedback",Control Theory and Systems
Natural Resource Economics,"valuation, ecosystem, services, non-market, contingent",Ecosystem Services Valuation
Natural Resource Economics,"fisheries, stock, harvest, management, bioeconomic",Bioeconomic Fisheries Management
Natural Resource Economics,"forestry, timber, rotation, optimization, sustainable",Sustainable Forestry Economics
Natural Resource Economics,"depletion, scarcity, hotelling, extraction, non-renewable",Non-Renewable Resource Depletion
Natural Resource Economics,"water, rights, allocation, irrigation, pricing",Water Resource Allocation
Natural Resource Economics,"pollution, externality, regulation, pigouvian, emissions",Environmental Externalities and Regulation
Natural Resource Economics,"land-use, conservation, development, zoning, urbanization",Land-Use and Conservation Planning
Other Rhetoric and Composition,"multimodal, digital, composition, media, technology",Digital and Multimodal Composition
Other Rhetoric and Composition,"kairos, audience, context, exigence, rhetor",Contextual Rhetorical Analysis
Other Rhetoric and Composition,"literacy, practices, community, social, cultural",Social and Cultural Literacy
Other Rhetoric and Composition,"basic, writers, developmental, pedagogy, support",Pedagogy for Basic Writers
Other Rhetoric and Composition,"writing, program, administration, wpa, curriculum",Writing Program Administration
Other Rhetoric and Composition,"epistemology, inquiry, knowledge, research, methods",Rhetoric of Knowledge Inquiry
Other Rhetoric and Composition,"public, civic, engagement, deliberation, discourse",Civic and Public Rhetoric
Radiology,"ct, scan, radiation, dose, tomography",Computed Tomography Imaging
Radiology,"mri, sequences, field, magnet, resonance",Magnetic Resonance Imaging Techniques
Radiology,"ultrasound, doppler, sonography, probe, real-time",Diagnostic Ultrasound and Doppler
Radiology,"interventional, angiography, catheter, minimally, procedure",Interventional Radiology Procedures
Radiology,"ai, machine, deep, learning, segmentation",AI in Medical Imaging
Radiology,"nuclear, pet, spect, radionuclide, molecular",Nuclear Medicine Imaging
Radiology,"mammography, screening, biopsy, breast, density",Breast Imaging and Screening
Biogeochemistry,"carbon, cycle, ocean, sequestration, atmospheric",Global Carbon Cycling
Biogeochemistry,"nitrogen, fixation, denitrification, ammonification, nitrification",Microbial Nitrogen Transformations
Biogeochemistry,"phosphorus, sediment, nutrient, eutrophication, soil",Phosphorus Cycling and Availability
Biogeochemistry,"trace, metal, sorption, aquatic, contaminant",Trace Metal Biogeochemistry
Biogeochemistry,"sulfur, redox, anoxic, bacteria, oxidation",Sulfur Biogeochemical Reactions
Biogeochemistry,"isotope, fractionation, stable, signature, proxy",Isotope Geochemistry and Tracing
Biogeochemistry,"ecosystem, marine, terrestrial, fluxes, climate",Ecosystem Biogeochemical Fluxes
Human and Clinical Nutrition,"malnutrition, screening, assessment, intervention, hospital",Clinical Malnutrition Management
Human and Clinical Nutrition,"dietary, intake, assessment, epidemiology, recommendations",Dietary Assessment and Epidemiology
Human and Clinical Nutrition,"metabolism, nutrient, bioavailability, digestion, absorption",Nutrient Metabolism and Absorption
Human and Clinical Nutrition,"obesity, weight, loss, bariatric, management",Obesity and Weight Management
Human and Clinical Nutrition,"vitamins, minerals, deficiency, toxicity, micronutrients",Micronutrient Status and Health
Human and Clinical Nutrition,"microbiota, prebiotics, probiotics, gut, dysbiosis",Gut Microbiota and Nutrition
Human and Clinical Nutrition,"parenteral, enteral, feeding, support, critically",Clinical Nutrition Support
Science and,"methodology, hypothesis, experiment, data, analysis",Scientific Research Methodology
Science and,"ethics, integrity, misconduct, policy, responsibility",Ethics in Scientific Research
Science and,"communication, public, literacy, engagement, dissemination",
Science and,"interdisciplinary, collaboration, teamwork, convergence, boundaries",Interdisciplinary Science Collaboration
Science and,"funding, grants, policy, investment, priorities",Science Funding and Policy
Science and,"reproducibility, replication, open, transparency, preregistration",Reproducibility in Science
Science and,"education, pedagogy, curriculum, stem, learning",Science Education and Pedagogy
Cell Anatomy,"nucleus, chromatin, nucleolus, envelope, dna",Nuclear Structure and Function
Cell Anatomy,"mitochondria, respiration, atp, cristae, matrix",Mitochondrial Energy Production
Cell Anatomy,"membrane, lipid, bilayer, transport, proteins",Cell Membrane Structure
Cell Anatomy,"ribosomes, translation, rna, protein, synthesis",Protein Synthesis Machinery
Cell Anatomy,"cytoskeleton, actin, microtubules, motility, shape",Cytoskeletal Dynamics and Shape
Cell Anatomy,"reticulum, endoplasmic, rough, smooth, luminal",Endoplasmic Reticulum Functions
Cell Anatomy,"lysosome, peroxisome, autophagy, degradation, vesicles",Cellular Degradation Pathways
Other Nutrition,"policy, economics, access, insecurity, sustainable",Food Policy and Security
Other Nutrition,"public, community, epidemiology, intervention, health",Public Health Nutrition
Other Nutrition,"nutrients, metabolism, bioactive, cellular, biochemistry",Nutrient Metabolism and Bioactives
Other Nutrition,"microbiome, gut, probiotics, prebiotics, dysbiosis",Nutrition and Gut Microbes
Other Nutrition,"infant, maternal, pediatric, childhood, growth",Maternal and Pediatric Nutrition
Other Nutrition,"sports, performance, hydration, athlete, ergogenic",Sports and Exercise Nutrition
Other Nutrition,"assessment, methods, biomarkers, measurement, dietary",Nutritional Status Assessment
Other Plant Sciences,"ecology, interactions, community, diversity, abiotic",Plant Ecology and Interactions
Other Plant Sciences,"metabolites, compounds, secondary, biosynthesis, natural",Plant Natural Products Research
Other Plant Sciences,"hydraulics, water, xylem, transport, physiology",Plant Water Relations
Other Plant Sciences,"biophysics, mechanics, modeling, growth, form",Plant Biomechanics and Modeling
Other Plant Sciences,"pollination, evolution, mating, systems, reproductive",Pollination and Mating Systems
Other Plant Sciences,"rhizosphere, microbiome, soil, nutrient, roots",Root and Rhizosphere Biology
Other Plant Sciences,"horticulture, turfgrass, ornamental, cultivation, management",Horticultural Science
Chemical and Pharmacologic Phenomena,"receptor, binding, affinity, ligand, modulation",Drug-Receptor Binding Kinetics
Chemical and Pharmacologic Phenomena,"metabolism, enzyme, cytochrome, inhibition, induction",Drug Metabolism Pathways
Chemical and Pharmacologic Phenomena,"toxicity, adverse, mechanism, safety, pharmacovigilance",Drug Safety and Toxicity
Chemical and Pharmacologic Phenomena,"pharmacokinetics, absorption, distribution, elimination, half-life",Pharmacokinetics (ADME)
Chemical and Pharmacologic Phenomena,"drug, design, synthesis, optimization, lead",Rational Drug Design
Chemical and Pharmacologic Phenomena,"signaling, intracellular, pathway, cascade, second",Cellular Signaling Mechanisms
Chemical and Pharmacologic Phenomena,"formulation, delivery, nanoparticle, controlled, release",Drug Delivery and Formulation
Medical Immunology,"t-cell, b-cell, antigen, antibody, adaptive",Adaptive Immunity Fundamentals
Medical Immunology,"cytokine, chemokine, inflammation, signaling, receptor",Immunological Signaling and Cytokines
Medical Immunology,"autoimmunity, tolerance, self-antigen, pathogenesis, disorder",Autoimmune Disease Mechanisms
Medical Immunology,"immunodeficiency, primary, secondary, infection, hiv",Primary and Secondary Immunodeficiency
Medical Immunology,"vaccine, adjuvant, immunization, efficacy, development",Vaccine Development and Efficacy
Medical Immunology,"tumor, immuno-oncology, checkpoint, therapy, microenvironment",Tumor Immunology and Therapy
Medical Immunology,"allergy, hypersensitivity, mast-cell, histamine, ige",Allergy and Hypersensitivity Reactions
Modern Art and Architecture,"abstraction, non-representational, cubism, suprematism, expressionism",Early 20th Century Abstraction
Modern Art and Architecture,"bauhaus, functionalism, mies, lecorbusier, international",Modernist Architecture and Design
Modern Art and Architecture,"pop, consumerism, warhol, mass-culture, commercial",Pop Art and Consumer Culture
Modern Art and Architecture,"minimalism, judd, sculpture, form, seriality",Minimalist Art Movement
Modern Art and Architecture,"dada, readymade, duchamp, chance, anti-art",Dadaism and Readymades
Modern Art and Architecture,"postmodernism, venturi, irony, complexity, historical",Postmodern Architecture Theory
Modern Art and Architecture,"action, abstract, pollock, gestural, canvas",Abstract Expressionism Painting
New Religious Movements,"conversion, recruitment, adherents, exit, apostasy",Membership and Conversion Processes
New Religious Movements,"charismatic, leadership, founder, authority, succession",Charismatic Leadership and Authority
New Religious Movements,"millenarian, apocalyptic, eschatology, prophecy, utopian",Millenarian and Apocalyptic Beliefs
New Religious Movements,"scientology, soka, bahai, caodaism, falun",Case Studies of Major NRMs
New Religious Movements,"syncretism, theology, doctrine, mythology, cosmology",Theological and Doctrinal Study
New Religious Movements,"communal, intentional, utopia, lifestyle, separation",Communal and Intentional Living
New Religious Movements,"media, internet, controversy, anti-cult, perception","NRMs, Media, and Controversy"
Biochemistry,"enzyme, kinetics, catalysis, substrate, inhibition",Enzyme Kinetics and Catalysis
Biochemistry,"metabolism, pathway, catabolism, anabolism, cellular",Cellular Metabolic Pathways
Biochemistry,"protein, folding, structure, amino, sequence",Protein Structure and Folding
Biochemistry,"dna, replication, transcription, rna, gene",Molecular Biology of Genetics
Biochemistry,"lipids, membrane, fatty, acids, signaling",Lipid Biochemistry and Membranes
Biochemistry,"carbohydrates, glycolysis, synthesis, glucose, sugars",Carbohydrate Metabolism
Biochemistry,"bioenergetics, atp, mitochondria, respiration, energy",Cellular Bioenergetics and ATP
"Veterinary Preventive Medicine, Epidemiology, and","zoonosis, transmission, public, health, disease",Zoonotic Disease Surveillance
"Veterinary Preventive Medicine, Epidemiology, and","food, safety, control, farm, inspection",Food Safety and Control
"Veterinary Preventive Medicine, Epidemiology, and","risk, factor, analysis, occurrence, distribution",Epidemiological Risk Analysis
"Veterinary Preventive Medicine, Epidemiology, and","antibiotic, resistance, amr, stewardship, therapy",Antimicrobial Resistance Research
"Veterinary Preventive Medicine, Epidemiology, and","vaccine, immunization, preventive, protocol, efficacy",Preventive Medicine Protocols
"Veterinary Preventive Medicine, Epidemiology, and","surveillance, detection, monitoring, outbreak, early",Animal Disease Surveillance
"Veterinary Preventive Medicine, Epidemiology, and","health, one, environmental, ecosystem, interconnected",One Health Interdisciplinary Research
Non-linear Dynamics,"chaos, attractor, sensitive, butterfly, lorenz",Chaos Theory
Non-linear Dynamics,"bifurcation, stability, parameter, saddle, node",Bifurcation Analysis
Non-linear Dynamics,"dynamical, system, phase, space, trajectory",Dynamical Systems Theory
Non-linear Dynamics,"fractal, dimension, self-similarity, mandelbrot, julia",Fractals and Self-Similarity
Non-linear Dynamics,"period, doubling, feigenbaum, map, transition",Period-Doubling Route
Non-linear Dynamics,"soliton, wave, nonlinear, kdv, coherent",Nonlinear Waves and Solitons
Non-linear Dynamics,"oscillation, limit, cycle, van, der",Limit Cycles and Oscillations
Scholarship of Teaching and Learning,"active, collaborative, inquiry, experiential, project",Active Learning Strategies
Scholarship of Teaching and Learning,"outcomes, assessment, rubrics, feedback, evaluation",Learning Outcomes and Assessment
Scholarship of Teaching and Learning,"engagement, motivation, satisfaction, retention, mindset",Student Engagement and Motivation
Scholarship of Teaching and Learning,"reflection, practice, peer, development, improvement",Reflective Teaching Practice
Scholarship of Teaching and Learning,"diversity, equity, inclusion, access, differentiated",Equity and Inclusive Teaching
Scholarship of Teaching and Learning,"technology, online, hybrid, media, digital",Technology in Teaching
Scholarship of Teaching and Learning,"curriculum, design, sequence, scaffolding, structure",Curriculum Design and Structure
Animal Experimentation and Research,"three, replacement, reduction, refinement, alternatives",Three Rs Ethics Framework
Animal Experimentation and Research,"welfare, housing, enrichment, stress, husbandry",Animal Welfare and Husbandry
Animal Experimentation and Research,"institutional, iacuc, review, protocol, oversight",Institutional Oversight and Review
Animal Experimentation and Research,"mice, rats, zebrafish, primate, model",Vertebrate Animal Models
Animal Experimentation and Research,"pain, analgesia, euthanasia, endpoints, monitoring",Pain Management and Endpoints
Animal Experimentation and Research,"vitro, organoids, cells, silico, computational",In Vitro and Alternative Methods
Animal Experimentation and Research,"genetic, breeding, phenotype, strain, transgenic",Genetic Animal Management
Veterinary Toxicology and Pharmacology,"drug, pharmacokinetics, absorption, metabolism, elimination",Veterinary Drug Disposition
Veterinary Toxicology and Pharmacology,"toxicity, exposure, poisoning, xenobiotics, diagnosis",Animal Toxin Exposure
Veterinary Toxicology and Pharmacology,"antimicrobial, resistance, antibiotics, residues, therapy",Antimicrobial Resistance
Veterinary Toxicology and Pharmacology,"pesticides, herbicides, rodenticides, environmental, risk",Pesticide and Chemical Toxicity
Veterinary Toxicology and Pharmacology,"adverse, reaction, side, safety, monitoring",Veterinary Pharmacovigilance
Veterinary Toxicology and Pharmacology,"natural, herbal, phytotherapy, complementary, alternative",Veterinary Natural Products
Veterinary Toxicology and Pharmacology,"mechanism, receptor, target, cellular, molecular",Toxicological Mechanisms of Action
Computational Linguistics,"parsing, syntax, grammar, treebank, dependency",Syntactic Parsing and Analysis
Computational Linguistics,"semantics, representation, meaning, logic, compositional",Computational Semantic Representation
Computational Linguistics,"machine, translation, neural, seq2seq, alignment",Neural Machine Translation
Computational Linguistics,"dialogue, system, spoken, turn, state",Spoken Dialogue Systems
Computational Linguistics,"sentiment, opinion, emotion, classification, lexicon",Sentiment and Opinion Mining
Computational Linguistics,"corpus, annotation, tagging, tokens, pre-processing",Corpus Annotation and Tagging
Computational Linguistics,"embeddings, vector, word2vec, transformer, pretrained",Word and Sentence Embeddings
Spanish Linguistics,"dialectology, variation, change, sociolinguistics, corpus",Spanish Language Variation and Change
Spanish Linguistics,"phonetics, phonology, sounds, pronunciation, accents",Spanish Phonetics and Phonology
Spanish Linguistics,"syntax, structure, generative, optimality, grammar",Spanish Syntactic Structure and Theory
Spanish Linguistics,"acquisition, second, input, interaction, learner",Second Language Acquisition of Spanish
Spanish Linguistics,"morphology, word-formation, inflection, lexicon, derivation",Spanish Morphology and Word Formation
Spanish Linguistics,"pragmatics, discourse, context, meaning, speechacts",Pragmatics and Discourse Analysis
Spanish Linguistics,"historical, evolution, latin, castilian, romance",History of the Spanish Language
Other Genetics and Genomics,"genetic, counseling, testing, risk, patients",Clinical Genetic Counseling
Other Genetics and Genomics,"epigenetics, methylation, histone, chromatin, modifications",Epigenetic Regulation Studies
Other Genetics and Genomics,"cytogenetics, karyotype, chromosome, aneuploidy, aberrations",Chromosome Structure Analysis
Other Genetics and Genomics,"population, diversity, evolutionary, allele, frequency",Evolutionary Population Genetics
Other Genetics and Genomics,"bioethics, elsi, privacy, data, societal","Ethical, Legal, Social Issues"
Other Genetics and Genomics,"mitochondrial, inheritance, dna, disorders, haplogroup",Mitochondrial Genetics
Other Genetics and Genomics,"quantitative, heritability, traits, mapping, loci",Quantitative Trait Loci
Cognitive Behavioral Therapy,"thoughts, emotions, behaviors, vicious, cycle",CBT Core Components
Cognitive Behavioral Therapy,"restructuring, maladaptive, automatic, beliefs, distortions",Cognitive Restructuring Techniques
Cognitive Behavioral Therapy,"activation, exposure, skills, homework, behavioral",Behavioral Intervention Strategies
Cognitive Behavioral Therapy,"depression, anxiety, ocd, ptsd, phobias",CBT for Mental Disorders
Cognitive Behavioral Therapy,"mindfulness, acceptance, dbt, act, third",Third Wave CBT Approaches
Cognitive Behavioral Therapy,"e-cbt, digital, online, teletherapy, virtual",Digital CBT and Telehealth
Cognitive Behavioral Therapy,"efficacy, meta-analysis, outcomes, clinical, evidence",CBT Treatment Effectiveness
Small or Companion Animal Medicine,"canine, feline, diagnosis, therapy, prevention",Companion Animal Health Management
Small or Companion Animal Medicine,"vaccination, parasite, infectious, disease, zoonotic",Infectious Disease and Parasitology
Small or Companion Animal Medicine,"surgery, anesthesia, pain, orthopedics, soft-tissue",Small Animal Surgery and Anesthesia
Small or Companion Animal Medicine,"radiography, ultrasound, mri, ct, imaging",Veterinary Diagnostic Imaging
Small or Companion Animal Medicine,"nutrition, dietary, obesity, management, prescription",Companion Animal Clinical Nutrition
Small or Companion Animal Medicine,"behavior, training, aggression, anxiety, enrichment",Veterinary Clinical Behavior
Small or Companion Animal Medicine,"oncology, chemotherapy, radiation, tumor, palliative",Small Animal Oncology Treatment
Comparative and Historical Linguistics,"sound, change, reconstruction, cognate, correspondence",Phonological Change and Reconstruction
Comparative and Historical Linguistics,"language, family, subgrouping, genetic, relationship",Language Classification and Genealogy
Comparative and Historical Linguistics,"proto-language, internal, comparison, parent, ancestry",Reconstruction of Proto-Languages
Comparative and Historical Linguistics,"loanword, borrowing, contact, influence, areal",Language Contact and Borrowing
Comparative and Historical Linguistics,"analogy, grammaticalization, typology, evolution, diachrony",Morphological and Syntactic Change
Comparative and Historical Linguistics,"lexicon, semantic, shift, meaning, etymology",Lexical and Semantic Change
Comparative and Historical Linguistics,"glottochronology, lexicostatistics, dating, methodology, divergence",Quantitative Historical Linguistics
Gerontology,"lifespan, senescence, cellular, biomarkers, longevity",Biological Aging and Longevity
Gerontology,"dementia, cognitive, impairment, alzheimer's, neurodegeneration",Cognitive Decline and Dementia
Gerontology,"frailty, sarcopenia, function, physical, exercise",Physical Function and Frailty
Gerontology,"caregiving, long-term, support, community, elderly",Elderly Care and Support
Gerontology,"retirement, social, engagement, isolation, well-being",Social Gerontology and Wellness
Gerontology,"pensions, economics, healthcare, policy, financial",Economics and Policy of Aging
Gerontology,"technology, assistive, digital, monitoring, home",Technology for Older Adults
Population Biology,"birth, death, migration, growth, density",Population Growth and Dynamics
Population Biology,"alleles, drift, flow, variation, selection",Population Genetics & Evolution
Population Biology,"predator, prey, competition, parasite, mutualism",Species Interactions Modeling
Population Biology,"metapopulation, patch, connectivity, dispersal, extinction",Metapopulation Dynamics
Population Biology,"age, sex, structure, fecundity, mortality",Demographic Analysis
Population Biology,"disease, host, vector, transmission, epidemiology",Population Disease Ecology
Population Biology,"carrying, capacity, regulation, limit, resource",Population Regulation
Geochemistry,"isotope, ratio, tracer, dating, mass",Isotope Geochemistry
Geochemistry,"element, mineral, rock, water, analysis",Trace Element Analysis
Geochemistry,"aqueous, reaction, ph, solubility, thermodynamics",Aqueous Geochemistry
Geochemistry,"magma, mantle, differentiation, igneous, petrology",High Temperature Geochemistry
Geochemistry,"sediment, diagenesis, ocean, porewater, authigenic",Marine Geochemistry
Geochemistry,"carbon, cycle, reservoir, atmosphere, exchange",Global Biogeochemical Cycles
